original_rule_id,retry_decision,promotion_ready,rule_object,constraint_scope,applies_to,operator,value,unit,condition,original_evidence_id,retry_evidence_id,retry_evidence_page,retry_support_gaps,promotion_risk_flags,promotion_recommendation,retry_evidence_quote,rule_sentence
vancouver_rs_021,rejected,False,floor_area,floor_area,bedroom,>=,8.4,m2,Except for a laneway house with no separate bedrooms,v3_repair_pack_0001_ev_002,m4_pack_0004_ev_001,8,pipeline5_text_candidate_requires_review; text_condition_not_supported; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; ivision into individual freehold rowhouse parcels. 11.3.7.2 For the purpose of fee simple subdivision, the minimum site width and frontage for each freeh...",bedroom: floor area for floor area must be at least 8.4 m2 when Except for a laneway house with no separate bedrooms.
vancouver_rs_011,rejected,False,setback,setback,laneway house,<=,4.9,m,"measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",m4_pack_0007_ev_001,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...","laneway house: setback for setback must be no more than 4.9 m when measured across the width of the site, from the single detached house or single detached house with secondary suite on the site."
vancouver_rs_012,rejected,False,setback,setback,laneway house,<=,0.9,m,from the ultimate rear property line,m4_pack_0007_ev_002,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...",laneway house: setback for setback must be no more than 0.9 m when from the ultimate rear property line.
vancouver_rs_013,rejected,False,setback,setback,laneway house,<=,1.2,m,from each side property line,m4_pack_0007_ev_003,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...",laneway house: setback for setback must be no more than 1.2 m when from each side property line.
vancouver_rs_024,rejected,False,setback,setback,laneway house,<=,4.9,m,"measured across the width of the site, from the single detached house or single detached house with secondary suite on the site",v3_repair_pack_0006_ev_001,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...","laneway house: setback for setback must be no more than 4.9 m when measured across the width of the site, from the single detached house or single detached house with secondary suite on the site."
vancouver_rs_025,rejected,False,setback,setback,laneway house,<=,0.9,m,from the ultimate rear property line,v3_repair_pack_0006_ev_002,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...",laneway house: setback for setback must be no more than 0.9 m when from the ultimate rear property line.
vancouver_rs_026,rejected,False,setback,setback,laneway house,<=,1.2,m,from each side property line,v3_repair_pack_0006_ev_003,m4_pack_0003_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; applies_to_not_supported; operator_not_supported; rule_object_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The building height for a laneway house must not exceed 8.5 m oor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; and (b) 186 m2. 11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Dir...",laneway house: setback for setback must be no more than 1.2 m when from each side property line.
vancouver_rs_005,rejected,False,floor_area,floor_area,bedroom,>=,8.4,m2,no separate bedrooms,m4_pack_0002_ev_002,m4_pack_0004_ev_001,8,pipeline5_text_candidate_requires_review; rule_family_direction_mismatch; value_not_found_in_evidence; unit_not_found_in_evidence; applies_to_not_supported,,Keep in review; inspect rerun gaps and cited evidence before changing verifier behavior.,"The floor area for a laneway house must not exceed the lesser of: (a) 0.25 multiplied by the site area; ivision into individual freehold rowhouse parcels. 11.3.7.2 For the purpose of fee simple subdivision, the minimum site width and frontage for each freeh...",bedroom: floor area for floor area must be at least 8.4 m2 when no separate bedrooms.
