rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
calgary_rcg_004,Calgary,RCG,verified,setback,minimum,min_setback,setback,>=,1.5,m,,,395,local_merged_rule_0004,"352 (1) For a Backyard Suite, the minimum building setback from a rear property line is: (a) 1.5 metres for any portion of the building used as a Backyard Suite; and (b) 0.6 metres for any portion of the building used as a private garage.",setback: setback for min setback must be at least 1.5 m.
calgary_rcg_006,Calgary,RCG,verified,building_separation,minimum,building_separation,building_separation,>=,5.0,m,,,396,local_merged_rule_0006,"(3) Unless otherwise referenced in subsections (3.1) and (3.2), a minimum separation of 5.0 metres is required between the closest façade of the main residential building to the closest façade of a Backyard Suite. 10P2019",building_separation: building separation for building separation must be at least 5.0 m.
calgary_rcg_010,Calgary,RCG,verified,height,maximum,building,height,<=,7.5,m,,,396,local_merged_rule_0010,"(4) Unless otherwise referenced in subsection (4.1), the maximum building height for a Backyard Suite is 7.5 metres. 10P2019",height: height for building must be no more than 7.5 m.
calgary_rcg_011,Calgary,RCG,verified,height,maximum,building,height,<=,5.0,m,,,396,local_merged_rule_0011,(4.1) The maximum building height for a Backyard Suite is: (a) 5.0 metres measured from grade at a side property line shared with a parcel designated with a low density residential district; (b) 3.0 metres measured from grade at a rear property line shared with a parcel designated with a low density residential district; and (c) increases at a 45 degree angle to a maximum of 7.5 metres at a proportional distance from the shared property line. 10P2019,height: height for building must be no more than 5.0 m.
calgary_rcg_020,Calgary,RCG,verified,setback,minimum,min_setback,setback,>=,0.6,m,,,397,local_merged_rule_0020,(9) A balcony attached to a Backyard Suite may project into a required 10P2019 setback area from a property line shared with a street or a lane to a minimum setback of 0.6 metres from the property line.,setback: setback for min setback must be at least 0.6 m.
calgary_rcg_021,Calgary,RCG,verified,setback,minimum,min_setback,setback,>=,6.0,m,,,398,local_merged_rule_0021,"(3) The building setback from the front property line for a Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling in the Developed Area is deemed to conform with the requirements of this Bylaw if: (a) the Duplex Dwelling, Semi-detached Dwelling or Single Detached Dwelling was legally existing or approved prior to the effective date of this Bylaw; (b) the building setback from the front property line is: (i) a minimum of 6.0 metres for the R-C1L or R-C1Ls districts; or (ii) a minimum of 3.0 metres for any other residential district; and 67P2008 (c) the main residential building: (i) has not been added to after the effective date of this Bylaw; or (ii) has been added to after the effective date of this Bylaw and the addition complies with the requirements specified in this Bylaw for a building setback from the front property line. 67P2008, 46P2008",setback: setback for min setback must be at least 6.0 m.
