rule_id,city,zone,status,rule_object,constraint_type,constraint_scope,applies_to,operator,value,unit,condition,exception,source_page,evidence_id,evidence_quote,rule_sentence
vancouver_rs_007,Vancouver,RS,verified,floor_area,maximum,,laneway house,<=,186,sq. m,,,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_006_2,11.3.8.2 The floor area for a laneway house must not exceed the lesser of: | (b) 186 sq. m .,laneway house: floor area must be no more than 186 sq. m.
vancouver_rs_013,Vancouver,RS,verified,height,maximum,,laneway house,<=,8.5,m,,,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_012,11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys.,laneway house: height must be no more than 8.5 m.
vancouver_rs_014,Vancouver,RS,verified,lot_coverage,maximum,site,site with a laneway house,<=,50,%,site with a laneway house,despite the maximum permitted site coverage in an applicable district schedule,8.0,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_text_013,"11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site area.",site with a laneway house: lot coverage for site must be no more than 50 % when site with a laneway house.
vancouver_rs_041,Vancouver,RS,verified,lot_coverage,maximum,site_area_fraction,,<=,50,%,for a site with a laneway house,Despite the maximum permitted site coverage in an applicable district schedule,1,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_012_1,"11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys. | 11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site area.",The relevant parcel or proposal item: lot coverage for site area fraction must be no more than 50 % when for a site with a laneway house.
vancouver_rs_042,Vancouver,RS,verified,storeys,maximum,,,<=,2,storeys,for a laneway house,,1,vancouver_section_11_2026_02__11_3_7_1__0008__unit_001__ev_heading_plus_clause_012_1,"11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys. | 11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site area.",The relevant parcel or proposal item: storeys must be no more than 2 storeys when for a laneway house.
